subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung im Bereich IT Dienstleistungen - Apex,IQSOFT Gesellschaft für Informationstechnologie m.b.H.,72200000 Softwareprogrammierung und -beratung,2,"77.495,00",29.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung: IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,9,"75.140,00",29.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung: IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,9,"78.500,00",29.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development SharePoint,Wipro IT Services Austria GmbH,72200000 Softwareprogrammierung und -beratung,6,"144.630,00",29.09.2025
ÖBB-Business Competence Center,8550,Subscriptions - Core Virtualisierung (VMWarebyBroadcom),SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1,"2.454.307,68",24.09.2025
ÖBB-Business Competence Center,8550,Abrufbestellung aus Rahmenvereinbarung Bewerber:innen-Management-System AddOns sowie im Zusammenhang stehende Dienstleistungen und Services,Deloitte Consulting GmbH,48100000 Branchenspezifisches Softwarepaket,4,"525.500,00",22.09.2025
ÖBB-Business Competence Center,8550,"Abruf aus Rahmenvereinabrung Dienstleistungen für Implementierung, Beratung u. laufende Unterstützung für SAP SuccessFactors HXM",Rahmenvereinbarung mit mehreren Unternehmen,72227000 Beratung im Bereich Software-Integration,5,"181.122,50",22.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung CRISAM Lizenzen und Wartung,CANCOM Austria AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3,"68.400,00",22.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"62.688,75",22.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9,"57.432,00",22.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,6,"70.010,00",22.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,16,"89.490,00",15.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"72.757,50",15.09.2025
ÖBB-Business Competence Center,8550,ARIS und webMethods Lizenzen ARIS Lizenzen; webMethods Lizenzen,SAG Aris GmbH,48000000 Softwarepaket und Informationssysteme,0,"124.618,64",15.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"87.900,00",13.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3,"54.400,00",10.09.2025
ÖBB-Business Competence Center,8550,CRM & PowerPlattform,"Orbis Austria GmbH, Sales","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7,"385.394,70",08.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,EDV-Design Informations-,48000000 Softwarepaket und Informationssysteme,1,"223.979,98",08.09.2025
ÖBB-Business Competence Center,8550,CRM & PowerPlattform,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"92.123,12",08.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"2.400.000,00",08.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1,"103.488,00",08.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung App Prototyping UX Frontend,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,4,"1.100.160,00",05.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,T & O Group Österreich GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"59.200,63",03.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"1.922.207,61",02.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"72.323,10",02.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"57.110,31",02.09.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"75.525,00",01.09.2025
ÖBB-Business Competence Center,8550,Brandschutzschulungen in Rahmen des ÖBB Bildungskataloges,Pyro Brandschutz GmbH Brandschutzplanung,80511000 Ausbildung des Personals,1,"148.800,00",01.09.2025
ÖBB-Business Competence Center,8550,Beratungsleistungen Organisation,AnneBreitner GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",3,"125.854,64",26.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"1.535.050,00",25.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3,"86.400,00",25.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Bechtle Austria GmbH,72900000 Computer-Backup-Dienste und Katalogkonvertierung,3,"76.000,00",25.08.2025
ÖBB-Business Competence Center,8550,"Kinderbetreuung an Ferien,- Fenster- und Landesfeiertagen",,"85312000 Dienstleistungen der Sozialfürsorge, ohne Unterbringung",,,21.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,NoR GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3,"79.000,00",20.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"200.560,00",20.08.2025
ÖBB-Business Competence Center,8550,Abrufbestellung aus Rahmenvereinbarung Crossfunktionale IT-DL,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7,"179.208,00",20.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9,"99.088,50",19.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung: IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,9,"104.976,00",19.08.2025
ÖBB-Business Competence Center,8550,ARIS und webMethods Lizenzen,Software GmbH Österreich,48000000 Softwarepaket und Informationssysteme,0,"124.618,64",19.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"197.688,12",13.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"266.739,20",13.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"149.600,00",13.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung: IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,9,"74.115,00",13.08.2025
ÖBB-Business Competence Center,8550,Cyber Defence Center,Deutsche Telekom Cyber,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5,"197.445,95",12.08.2025
ÖBB-Business Competence Center,8550,Prozessmanagement Training & Zertifizierung,T & O Group Österreich GmbH Office Management,80511000 Ausbildung des Personals,3,"109.534,00",11.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1,"88.320,00",06.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,16,"80.541,00",06.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9,"94.370,00",05.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"54.500,00",05.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1,"1.417.527,64",04.08.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7,"105.627,96",04.08.2025
ÖBB-Business Competence Center,8550,Diese SAP-Rahmenvereinbarung dient ausschließlich zur SAP-Abbildung der Abrufe (Innenwirkung),SoftwareONE Österreich GmbH,30234600 Flashspeicher,0,"859.982,59",04.08.2025
ÖBB-Business Competence Center,8550,Bestellung 4300973215,SAP Österreich GmbH,72267000 Software-Wartung und -Reparatur,1,"3.400.000,00",31.07.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9,"86.148,00",31.07.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"50.350,00",31.07.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"90.667,50",30.07.2025
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"80.560,00",30.07.2025
