subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Holding AG,11217,Arbeitgeberstudie,Institut für empirische Sozialforschung (IFES) GmbH Zentrale,79320000 Meinungsumfragen,1,"89.900,00",08.09.2025
ÖBB-Holding AG,11217,"Heizung, Klima, Lüftung, Sanitäranlagen und MSR-Technik",,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",,,29.08.2025
ÖBB-Holding AG,11217,AR-Datenraum,,48000000 Softwarepaket und Informationssysteme,,,28.08.2025
ÖBB-Holding AG,11217,Etablierung eines Steuerkontrollsystems bis zur Erstbegutachtung des Steuerkontrollsystems,Rahmenvereinbarung mit mehreren Unternehmen,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,4,"82.691,18",27.08.2025
ÖBB-Holding AG,11217,Abruf aus Rahmenvereinbarung Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),ISS Facility Services GmbH,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",11,"54.478,40",26.08.2025
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"83.439,99",13.08.2025
ÖBB-Holding AG,11217,strategische Beratungsleistungen,Arthur D. Little Austria GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",4,"199.900,00",25.07.2025
ÖBB-Holding AG,11217,Beratung im Aufbau neuer Geschäftsmodelle,vlabs innovation gmbh,79410000 Unternehmens- und Managementberatung,5,"97.520,00",18.07.2025
ÖBB-Holding AG,11217,Beratung im Bereich Community Management Basisangebot,Punkt vor Strich GmbH,79410000 Unternehmens- und Managementberatung,4,"70.000,00",16.07.2025
ÖBB-Holding AG,11217,Beratungsleistungen Unternehmensbewertung,BDO Austria Holding Wirtschaftsprüfung GmbH,79412000 Beratung im Bereich Finanzverwaltung,5,"69.537,60",16.07.2025
ÖBB-Holding AG,11217,Beratung im Aufbau neuer Geschäftsmodelle,vlabs innovation gmbh,79410000 Unternehmens- und Managementberatung,5,"90.420,00",16.07.2025
ÖBB-Holding AG,11217,"Strategisches Prozessmanagement - Strategie, Prozesse, Organisation",Ralph Bernhard,79410000 Unternehmens- und Managementberatung,3,"55.500,00",16.07.2025
ÖBB-Holding AG,11217,Unterstützungsleistungen für Verrechnungspreisdokumentationen,Rahmenvereinbarung mit mehreren Unternehmen,79412000 Beratung im Bereich Finanzverwaltung,4,"50.036,80",16.07.2025
ÖBB-Holding AG,11217,Moderation von Executive Veranstaltungen und Vermittlung der Unternehmensausrichtung,ICG Integrated Consulting Group Gmb,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",4,"74.550,00",16.07.2025
ÖBB-Holding AG,11217,Abruf aus Rahmenvereinbarung Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),ISS Facility Services GmbH,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",11,"54.478,40",15.07.2025
ÖBB-Holding AG,11217,Etablierung eines Steuerkontrollsystems bis zur Erstbegutachtung des Steuerkontrollsystems,Rahmenvereinbarung mit mehreren Unternehmern,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,4,"1,00",08.07.2025
ÖBB-Holding AG,11217,Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),ISS Facility Services GmbH,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",0,"54.478,40",17.06.2025
