subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Signalmasten,,34942100 Signalmasten,,,29.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von biologisch abbaubaren Verpackungen und Gebrauchsmittel für die Kantinen der ÖBB,,39312200 Kantinenausrüstung,,,25.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"IBM Software, Hardware und Dienstleistungen",,48000000 Softwarepaket und Informationssysteme,,,19.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Netzoptimierungstool (NEO) | Beschaffung, Implementierung, Wartung",,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",,,18.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Winterdienst 2025ff 7.01,7.02,7.05,7.10-7.16,7.19,8.01-8.04","Los 7.01 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Maschinenring Service Wien-NÖ reg. Gen.m.b.H., 3.RVP Hausbetreuung Attensam GmbH Los 7.02 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.05 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH, 3.RVP Doris Friedl Forstunternehmen GmbH Los 7.10 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.11 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.12 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.13 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.14 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.15 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.16 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 7.19 WD Region NÖ/Bgld - Bundesländer Niederösterreich/Burgenland/Steiermark 1.RVP Levaro eGen, 2.RVP Hausbetreuung Attensam GmbH Los 8.01 WD Region Wien - Bundesland Wien 1.RVP Levaro eGen, 2.RVP Milorad Joksimovic e.U., 3.RVP Demetra GmbH Los 8.02 WD Region Wien - Bundesland Wien 1.RVP Levaro eGen, 2.RVP TBSR International Services GmbH, 3.RVP Milorad Joksimovic e.U. Los 8.03 WD Region Wien - Bundesland Wien 1.RVP Levaro eGen, 2.RVP Demetra GmbH, 3.RVP Hausbetreuung Attensam GmbH Los 8.04 WD Region Wien - Bundesland Wien 1.RVP TBSR International Services GmbH, 2.RVP Levaro eGen, 3.RVP Milorad Joksimovic e.U.",90620000 Schneeräumung,21,"22.753.499,70",12.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Schleifmittel für die Oberflächen der Schienenfahrzeuge,,14810000 Schleifmittel,,,08.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"SAP HXM: DL für die Implementierung, sowie weitere Beratungs- u. Unterstützungsleistungen",Rahmenvereinbarung mit mehreren Unternehmern,72220000 Systemberatung und technische Beratung,4,"1,00",03.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Textilberater,,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,,,02.09.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Winterdienst 2025ff,Rahmenvereinbarung mit mehreren Unternehmern,90620000 Schneeräumung,21,"1,00",30.08.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Tool Entgelttransparenzrichtlinie,,48000000 Softwarepaket und Informationssysteme,,,27.08.2025
