subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Immobilienmanagement,11090,Abruf aus Rahmenvereinbarung - Instandhaltung von Fahrtreppen,Schindler Aufzüge u. Fahrtreppen Gm,50740000 Reparatur und Wartung von Rolltreppen,4,"91.130,00",08.09.2025
ÖBB-Immobilienmanagement,11090,(24-206456 BG Bruck Ern. Sanitäranlage  - GU Leistung,Hieden & Kall Hoch-u. Tiefbaugesellschaft m. b. H. Graz,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,4,"58.067,22",27.08.2025
ÖBB-Immobilienmanagement,11090,Abruf aus Rahmenvereinbarung - Lieferung und Montage von 23 Fahrtreppen,Schindler Aufzüge u. Fahrtreppen Gm,"42416000 Aufzüge, Schrägaufzüge, Hebezeuge, Rolltreppen und Rollsteige",4,"99.132,00",23.07.2025
ÖBB-Immobilienmanagement,11090,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"1,00",18.07.2025
ÖBB-Immobilienmanagement,11090,Abruf aus Rahmenvereinbarung: Arbeitsplatzübersiedlungen Region Ost,H. Fuchs GesmbH,60000000 Transport- und Beförderungsdienstleistungen (außer Abfalltransport),3,"135.037,94",17.07.2025
ÖBB-Immobilienmanagement,11090,BCWW_Fettabscheider BT-A McDonalds & Vapiano - BCWW_Fettabscheider BT-A McDonalds & Vapiano,Caverion Österreich GmbH Zentrale Wien,45332000 Installateurarbeiten und Verlegung von Abwasserleitungen,2,"70.557,56",14.07.2025
ÖBB-Immobilienmanagement,11090,Abruf aus der Rahmenvereinbarung - Instandhaltung von Fahrtreppen,Schindler Aufzüge u. Fahrtreppen Gm,50740000 Reparatur und Wartung von Rolltreppen,0,"91.130,00",02.07.2025
ÖBB-Immobilienmanagement,11090,Wartung und Inspektionen HKLS - Wartung und Inspektionen HKLS Gauermanngasse 2-4 1010 Wien,Apleona Austria GmbH Vertrieb,"50500000 Reparatur und Wartung von Pumpen, Ventilen, Hähnen, Metallbehältern und Maschinen",4,"74.689,30",01.07.2025
ÖBB-Immobilienmanagement,11090,Statikleistungen,,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,,,20.06.2025
ÖBB-Immobilienmanagement,11090,Lieferung von Sanitäranlagen und -Ersatzteilen,Frauenthal Handel AG Zentrale Haustechnik ÖAG,44411000 Sanitärerzeugnisse,1,"5.116.473,33",02.06.2025
ÖBB-Immobilienmanagement,11090,"""ELI"" Elisabethstraße - Machbarkeitsstudie April 2025 - Juni 2025",hochform zt gmbh Architektur,71200000 Dienstleistungen von Architekturbüros,1,"55.998,00",08.05.2025
