subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Infrastruktur Aktiengesellschaft,28842,ELF Gloggnitz,Magirus Lohr GmbH,34144210 Feuerwehrfahrzeuge,1,"253.787,51",20.08.2024
ÖBB-Infrastruktur Aktiengesellschaft,28842,ELF Mürzzuschlag,Magirus Lohr GmbH,34144210 Feuerwehrfahrzeuge,1,"241.083,07",23.05.2024
ÖBB-Infrastruktur Aktiengesellschaft,28842,ELF Koralm,Magirus Lohr GmbH,34144210 Feuerwehrfahrzeuge,1,"241.083,07",13.05.2024
ÖBB-Infrastruktur Aktiengesellschaft,28842,Lieferung WLF FF Melk,MAN Truck & Bus Vertrieb Österreich GesmbH,34140000 Schwerlastfahrzeuge,1,"374.230,40",19.03.2024
ÖBB-Infrastruktur Aktiengesellschaft,28842,Atemschutzcontainer FF Melk,Rosenbauer Österreich Gesellschaft m.b.H.,44613000 Großcontainer,1,"519.550,00",12.03.2024
ÖBB-Infrastruktur Aktiengesellschaft,28842,Versorgungsfahrzeug NÖ,BieGe/ArGe MAN Truck Bus Vertrieb Österreich GesmbH & Rheinmetall MAN Military Vehicles Österreich GmbH,34136100 Leichtlastwagen,1,"257.333,03",07.11.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,VF Wolfurt,BieGe/ArGe MAN Truck Bus Vertrieb Österreich GesmbH & Rheinmetall MAN Military Vehicles Österreich GmbH,34136100 Leichtlastwagen,1,"255.546,64",06.09.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,VF Kärnten St. Paul,BieGe/ArGe MAN Truck Bus Vertrieb Österreich GesmbH & Rheinmetall MAN Military Vehicles Österreich GmbH,34136100 Leichtlastwagen,1,"256.819,45",06.09.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,MZF Kühnsdorf,Magirus Lohr GmbH,34144210 Feuerwehrfahrzeuge,1,"143.493,52",06.09.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,AB ATS Wolfsberg,Rosenbauer Österreich Gesellschaft m.b.H.,44613000 Großcontainer,1,"432.085,00",10.08.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,AB Werndorf,Rosenbauer Österreich Gesellschaft m.b.H.,44613000 Großcontainer,1,"395.400,00",10.08.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,Atemluftcontainer Mürzzuschlag (SAP 4401101332),Rosenbauer Österreich Gesellschaft m.b.H.,44613000 Großcontainer,1,"395.400,00",09.08.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,VFZe Stmk  f. SBT und Koralm,Magirus Lohr GmbH,34144210 Feuerwehrfahrzeuge,1,"441.006,02",04.07.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,ELF Kärnten,Magirus Lohr GmbH,34144210 Feuerwehrfahrzeuge,1,"170.742,36",04.07.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,LKW-A/VF-C SBT NÖ,BieGe/ArGe MAN Truck Bus Vertrieb Österreich GesmbH & Rheinmetall MAN Military Vehicles Österreich GmbH,34144210 Feuerwehrfahrzeuge,1,"254.954,89",29.03.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,LKW-A BTF Wolfurt,BieGe/ArGe MAN Truck Bus Vertrieb Österreich GesmbH & Rheinmetall MAN Military Vehicles Österreich GmbH,34136100 Leichtlastwagen,1,"254.954,89",13.03.2023
ÖBB-Infrastruktur Aktiengesellschaft,28842,Wechselladefahrzeug,MAN Truck & Bus Vertrieb Österreich GesmbH,34140000 Schwerlastfahrzeuge,1,"52.500,00",19.05.2022
ÖBB-Infrastruktur Aktiengesellschaft,28842,Wechselladefahrzeug,MAN Truck & Bus Vertrieb Österreich GesmbH,34140000 Schwerlastfahrzeuge,1,"418.285,98",19.05.2022
ÖBB-Infrastruktur Aktiengesellschaft,28842,Wechselladefahrzeug,MAN Truck & Bus Vertrieb Österreich GesmbH,34140000 Schwerlastfahrzeuge,1,"744.131,22",19.05.2022
