subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Personenverkehr AG,8547,Bestellung 4300988026,TRENITALIA S.P.A.,60210000 Öffentlicher Schienentransport/öffentliche Schienenbeförderung,0,"14.000.000,00",25.09.2025
ÖBB-Personenverkehr AG,8547,Rahmenvereinbarung Design Interieur / Exterieur,Tricon Aktiengesellschaft,79930000 Dienstleistungen bezüglich Produktdesign,8,"83.350,00",24.09.2025
ÖBB-Personenverkehr AG,8547,Fachbeirat PV-E Exzellenzentwicklung,Dr. Michael Mergenbaum,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,3,"57.000,00",23.09.2025
ÖBB-Personenverkehr AG,8547,DMLwest - 8. Vertragsänderung,"Siemens Mobility Austria GmbH, Rolling Stock",34630000 Teile für Eisenbahn- oder Straßenbahnlokomotiven oder rollendes Material; Ausrüstung für die Eisenbahnverkehrssteuerung,,,22.09.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9,"63.240,00",18.09.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung Kartenproduktion,Plasticard-ZFT GmbH & Co.KG,"30000000 Maschinen, Material und Zubehör für Büro und Computer, außer Möbeln und Softwarepaketen",6,"90.000,00",16.09.2025
ÖBB-Personenverkehr AG,8547,Beratungsdienstleistungen im Bereich Lean Management,successfactory Management Coaching,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",3,"68.400,00",16.09.2025
ÖBB-Personenverkehr AG,8547,DOSTO-Gebrauchtfahrzeuge - ECM-Funktionen 1 und 2 für 17 gebrauchte doppelstöckige Elektrotriebzüge,DB Fernverkehr AG,"50220000 Reparatur, Wartung und zugehörige Dienste in Verbindung mit Eisenbahnen und anderen Ausrüstungen",1,"290.000,00",15.09.2025
ÖBB-Personenverkehr AG,8547,"Projekt VANEZA, 1. Abruf, IOB-Komponenten",Siemens Mobility Austria GmbH,34630000 Teile für Eisenbahn- oder Straßenbahnlokomotiven oder rollendes Material; Ausrüstung für die Eisenbahnverkehrssteuerung,,,11.09.2025
ÖBB-Personenverkehr AG,8547,Nachabbildung Payment Service Provider & Acquiring,Worldline Austria GmbH Worldline Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"19.021.437,00",10.09.2025
