subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Postbus,8581,Abrufbestellung einer Rahmenvereinbarung,AB THOREB,30200000 Computeranlagen und Zubehör,0,"62.987,22",24.09.2025
ÖBB-Postbus,8581,Bestellung 9301411792,K-Bus GmbH,34114400 Kleinbusse,0,"131.736,40",18.09.2025
ÖBB-Postbus,8581,Bestellung 9301409160,Iveco-Austria Gesellschaft m.b.H.,34320000 Mechanische Ersatzteile außer Motoren und deren Ersatzteilen,0,"57.798,41",27.08.2025
ÖBB-Postbus,8581,Bestellung 9301409430,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"105.698,61",27.08.2025
ÖBB-Postbus,8581,Bestellung 9301409433,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"177.660,44",27.08.2025
ÖBB-Postbus,8581,Bestellung 9301409436,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"70.316,34",27.08.2025
ÖBB-Postbus,8581,Bestellung 9301409434,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"95.548,05",27.08.2025
ÖBB-Postbus,8581,Bestellung 9301409461,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"75.825,55",27.08.2025
ÖBB-Postbus,8581,Bestellung 9301406167,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"82.232,06",24.07.2025
ÖBB-Postbus,8581,Bestellung 9301406168,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"68.424,92",24.07.2025
ÖBB-Postbus,8581,Bestellung 9301406160,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"105.231,67",24.07.2025
ÖBB-Postbus,8581,Bestellung 9301406163,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"111.787,02",24.07.2025
ÖBB-Postbus,8581,Bestellung 9301406164,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"68.244,28",24.07.2025
ÖBB-Postbus,8581,Abrufbestellung einer Rahmenvereinbarung,AB THOREB,30200000 Computeranlagen und Zubehör,0,"71.250,00",01.07.2025
ÖBB-Postbus,8581,Bestellung 9301403507,Enilive Austria GmbH,"09134210 Dieselkraftstoff (0,2)",0,"72.293,33",30.06.2025
ÖBB-Postbus,8581,Bestellung 9301403465,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"94.755,85",30.06.2025
ÖBB-Postbus,8581,Bestellung 9301403514,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"62.476,93",30.06.2025
ÖBB-Postbus,8581,Bestellung 9301403469,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"59.057,18",30.06.2025
ÖBB-Postbus,8581,Bestellung 9301403468,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"143.273,86",30.06.2025
ÖBB-Postbus,8581,Bestellung 9301402035,Brenntag Austria GmbH,24960000 Verschiedene chemische Erzeugnisse,0,"999.000,00",12.06.2025
ÖBB-Postbus,8581,Bestellung 9301401151,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"96.869,86",03.06.2025
ÖBB-Postbus,8581,Bestellung 9301401160,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"62.754,95",02.06.2025
ÖBB-Postbus,8581,Bestellung 9301401162,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"69.375,91",02.06.2025
ÖBB-Postbus,8581,Bestellung 9301401154,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"108.737,34",02.06.2025
ÖBB-Postbus,8581,Bestellung 9301401155,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"63.648,64",02.06.2025
ÖBB-Postbus,8581,Bestellung 9301401089,Kurt Manninger,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,0,"91.500,00",27.05.2025
ÖBB-Postbus,8581,WLAN im Bus,Unwired Networks GmbH,32413100 Router für Netzwerke,0,"88.068,96",19.05.2025
ÖBB-Postbus,8581,Bestellung 9301397733,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"77.842,56",28.04.2025
ÖBB-Postbus,8581,Bestellung 9301397706,Enilive Austria GmbH,09134220 Dieselkraftstoff (EN 590),0,"70.384,33",28.04.2025
ÖBB-Postbus,8581,Bestellung 9301397673,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"120.735,66",28.04.2025
ÖBB-Postbus,8581,Bestellung 9301397676,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),0,"69.460,78",28.04.2025
ÖBB-Postbus,8581,Bestellung 9301397677,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"90.164,59",28.04.2025
ÖBB-Postbus,8581,Bestellung 9301393970,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"68.044,34",25.03.2025
ÖBB-Postbus,8581,Bestellung 9301393975,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"93.912,91",25.03.2025
ÖBB-Postbus,8581,Bestellung 9301393961,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"154.753,66",25.03.2025
ÖBB-Postbus,8581,Bestellung 9301393964,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"52.778,42",25.03.2025
ÖBB-Postbus,8581,Bestellung 9301393965,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"61.349,81",25.03.2025
ÖBB-Postbus,8581,Bestellung 9301391689,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"157.305,94",04.03.2025
ÖBB-Postbus,8581,Bestellung 9301391693,OMV Downstream GmbH,09134200 Dieselkraftstoff,0,"61.646,36",04.03.2025
ÖBB-Postbus,8581,Bestellung 9301391699,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"88.226,46",04.03.2025
ÖBB-Postbus,8581,Bestellung 9301391701,Enilive Austria GmbH,09134200 Dieselkraftstoff,0,"89.626,57",04.03.2025
