subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"431.949,50",24.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"356.683,74",24.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"274.078,11",17.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"162.231,30",17.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"349.999,80",10.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"94.708,57",10.09.2025
ÖBB-Produktion,8545,Bestellung 4300985866,Siemens Mobility Austria GmbH,71356300 Technische Unterstützung,0,"54.000,00",10.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"160.334,30",03.09.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"364.729,26",03.09.2025
ÖBB-Produktion,8545,Eyetracking Brillen,Tobii Pro AB  Enterprise,32333000 Videoaufzeichnungs- und -wiedergabegeräte,1,"77.954,36",02.09.2025
ÖBB-Produktion,8545,Dieselbetankungen Spittal an der Drau,Steiner Reifen- und Mineralölhandel GesmbH Zentrale,09134220 Dieselkraftstoff (EN 590),1,"80.615,00",29.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"237.735,40",27.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"185.585,51",27.08.2025
ÖBB-Produktion,8545,Abruf aus Rahmenvereinbarung Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),Dussmann Austria GmbH,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",14,"60.846,84",21.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"92.893,60",20.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"340.259,00",20.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"160.295,80",13.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"270.698,65",13.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"96.377,11",06.08.2025
ÖBB-Produktion,8545,Sanierung Bereich Fahrschiene und Abfahrgleise Schiebebühne Linz - Sanierungsarbeiten,STRABAG AG Dion AG - Verkehrswegebau OÖ,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,3,"88.625,59",05.08.2025
ÖBB-Produktion,8545,"Tausch von 13 Tankautomaten, ÖBB-Produktion Standorte",,44611000 Tanks,,,01.08.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"96.561,37",30.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"353.516,00",30.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"339.922,10",24.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"176.589,21",24.07.2025
ÖBB-Produktion,8545,Abruf aus Rahmenvereinbarung,DKV EURO SERVICE,09134220 Dieselkraftstoff (EN 590),0,"60.409,12",16.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"267.802,20",16.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"470.643,00",16.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"94.810,07",09.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"257.285,86",09.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"354.585,87",02.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"160.793,50",02.07.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"295.607,82",25.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"347.323,60",25.06.2025
ÖBB-Produktion,8545,Bestellung 4300980282,Porr Bau GmbH,50225000 Wartung von Gleisen,1,"69.735,01",23.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"179.347,98",18.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"250.094,70",18.06.2025
ÖBB-Produktion,8545,Erbringung von Arbeitszug-Leistungen inkl. der Bereitstellung von Triebfahrzeugen und Triebfahrzeugführern  - Rahmenvertrag über Erbringung von Arbeitszug-Leistungen mittels Dieselstreckenlokomotiven,RTS Rail Transport Service GmbH Geschäftsführung Graz,98300000 Diverse Dienstleistungen,1,"9.356.940,00",16.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"324.675,30",11.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"254.423,48",11.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"256.072,73",04.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"243.236,90",04.06.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"245.437,30",28.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"274.544,91",28.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"147.136,70",21.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"266.258,60",21.05.2025
ÖBB-Produktion,8545,Erneuerung der Kältemaschinen im Produktionsgebäude Linz - Erneuerung der Kältemaschinen im Produktionsgebäude Linz,EQUANS Gebäudetechnik GmbH Niederlassung Traun,45000000 Bauarbeiten,4,"86.440,64",20.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"299.810,42",14.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"89.916,39",14.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"389.762,59",07.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"260.053,00",07.05.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"73.213,37",30.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"341.333,06",30.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"90.799,51",23.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"332.464,40",23.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"179.906,62",16.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"318.821,82",16.04.2025
ÖBB-Produktion,8545,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"550.280,20",15.04.2025
ÖBB-Produktion,8545,8. Abruf zur Rahmenvereinbarung über Elektrolokomotiven (Vectron),"Siemens Mobility Austria GmbH, SMO NEE RC-AT RS",34611000 Lokomotiven,1,"143.460.898,37",10.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"261.277,70",09.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"366.091,92",09.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"290.411,19",02.04.2025
ÖBB-Produktion,8545,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"113.925,16",02.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"435.718,30",02.04.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"357.014,49",26.03.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"161.812,70",26.03.2025
ÖBB-Produktion,8545,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"550.000,00",24.03.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590,voestalpine Stahl Donawitz GmbH Anschlussbahn Betriebsleitung,09134220 Dieselkraftstoff (EN 590),1,"113.047,34",24.03.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,OMV Downstream GmbH,09134220 Dieselkraftstoff (EN 590),1,"246.159,68",19.03.2025
ÖBB-Produktion,8545,Lieferung von Dieselkraftstoff EN 590 im 4ax-Kesselwagen sowie Straßentankwagen,F. Leitner Mineralöle GmbH,09134220 Dieselkraftstoff (EN 590),1,"370.907,32",19.03.2025
ÖBB-Produktion,8545,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"231.459,66",18.03.2025
ÖBB-Produktion,8545,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"215.075,91",18.03.2025
