subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB Rail Tours Austria,11446,Abruf zu RVB: Dynamisches Paketieren von Bahn- und Zusatzleistungen,"Alturos Destinations GmbH, Alturos Destinations GmbH | Klagenfurt Lakesidepark",48000000 Softwarepaket und Informationssysteme,1,"510.625,00",24.07.2025
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B9 – Vbg,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,6,"71.443,18",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B8 - T,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,6,"142.886,35",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B7 – Stmk,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,26,"142.886,35",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B6 – Sbg,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,15,"2.143.295,25",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B5 - OÖ,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,10,"785.874,93",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B4 – Ktn,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,12,"214.329,53",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B3 – Bgld,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,5,"214.329,53",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B2 - NÖ,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,24,"428.659,05",27.11.2024
ÖBB Rail Tours Austria,11446,Zurverfügungstellung von Übernachtungsmöglichkeiten und Seminarräumlichkeiten - Los B1 - W,Rahmenvereinbarung mit mehreren Unternehmern,55100000 Dienstleistungen von Hotels,26,"3.000.613,35",27.11.2024
