subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Technische Services Gesellschaft,11068,"Lieferung und Montage von Drehgestellsenke, Gleisbrücken inkl. Wechselsystem und Kleinhubtische",,42000000 Industrielle Maschinen,,,29.09.2025
ÖBB-Technische Services Gesellschaft,11068,Instandhaltungshalle Floridsdorf DOSTO neu - Ausstattung Umkleideräume (Garderobenschränke inkl. Zubehör),1A Betriebseinrichtungen OSGAR GmbH Zentrale,39122000 Schränke und Bücherschränke,2,"60.333,76",29.09.2025
ÖBB-Technische Services Gesellschaft,11068,MICAS S IFZ12EA02 Analoge Eingabe EL1163,ALSTOM Transport Austria GmbH Services Austria,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,1,"67.370,64",29.09.2025
ÖBB-Technische Services Gesellschaft,11068,Vorprojekt Hallenzubau Jedlersdorf - Machbarkeit und Vorentwurfsplanung,ostertag ARCHITECTS ZT GmbH Zentrale,71322000 Technische Planungsleistungen im Tief- und Hochbau,1,"188.616,78",29.09.2025
ÖBB-Technische Services Gesellschaft,11068,WC Ver- und Entsorgungsanlagen für SVS Linz Raimundstraße,,42122220 Abwasserpumpen,,,29.09.2025
ÖBB-Technische Services Gesellschaft,11068,Beschaffung von Fahrmotoren 1TB2824-0GC02; DAM1630 - Rahmenvertrag bis zu 14 Stück gebrauchte Fahrmotoren 466102067T,,34300000 Teile und Zubehör für Fahrzeuge und deren Motoren,,,26.09.2025
ÖBB-Technische Services Gesellschaft,11068,Verlängerung Obj. 127 - Technische Projektunterstützung,a+t ingenieure gmbh OÖ / NÖ / Wien,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,2,"177.621,16",26.09.2025
ÖBB-Technische Services Gesellschaft,11068,"Kompaktklimagerät R744 FGR Dach, DANI",,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,,,25.09.2025
ÖBB-Technische Services Gesellschaft,11068,ETZ-Akku; St. Pölten - HKLS - Instandhaltungshalle,,45000000 Bauarbeiten,,,24.09.2025
ÖBB-Technische Services Gesellschaft,11068,Zugheizkupplungsstecker vollständig für Bahnanwendungen,,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,,,24.09.2025
ÖBB-Technische Services Gesellschaft,11068,DANI-2 Innsbruck - Stahlbau Werkshalle,megla gmbh Zentrale,45223210 Bauarbeiten für Stahlkonstruktionen,,,23.09.2025
ÖBB-Technische Services Gesellschaft,11068,"Aufarbeitung Traktionsstromrichter mit HBU, DML, Rolling Stock - Aufarbeitung Traktionsstromrichter mit HBU, DML, Rolling Stock",Siemens Mobility Austria GmbH MO RC-AT CS RS,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,1,"87.135,00",23.09.2025
ÖBB-Technische Services Gesellschaft,11068,RailJet-Kopflätzen,E. Schoepf GmbH  Vertrieb Export,34631300 Sitze für Schienenfahrzeuge,1,"91.776,75",23.09.2025
ÖBB-Technische Services Gesellschaft,11068,RV 2025 Bremsklotzsohlen P10 für Güterwagen,Eisenwerk Arnstadt GmbH Vertrieb,34322400 Bremssohle,1,"740.870,00",23.09.2025
ÖBB-Technische Services Gesellschaft,11068,Kauf von Entfeuchtungsmittel - Entfeuchtungsmittel,Giebel Desiccants GmbH Großhandel Trockenmittel,24000000 Chemische Erzeugnisse,3,"73.819,20",23.09.2025
ÖBB-Technische Services Gesellschaft,11068,Abruf aus Rahmenvereinbarung ÖBB Software Materialerkennung,Partium Technologies GmbH,48000000 Softwarepaket und Informationssysteme,3,"108.480,00",22.09.2025
ÖBB-Technische Services Gesellschaft,11068,SVS Salzburg HBF-Lastenstraße  - Teil GU Bauleistungen,,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,,,19.09.2025
ÖBB-Technische Services Gesellschaft,11068,Beschaffung zusätzlicher Ersatzgetriebe Vectron - 8 Stk 00445454002 Getriebe kpl. 2LB8125-9CB47 lila Welle,Siemens Mobility Austria GmbH MO RC-AT CS RS,34321000 Achsen und Getriebe,1,"654.400,00",19.09.2025
ÖBB-Technische Services Gesellschaft,11068,Zylinderrollen- und Rillenkugellager für Fahrmotor DAM 1650 der ÖBB BR 1293 Vectron,NKE Austria GmbH Vertrieb,34631000 Teile für Lokomotiven oder rollendes Material,3,"209.232,00",19.09.2025
ÖBB-Technische Services Gesellschaft,11068,"Anlenkstange, vollst.          Rh88-90.2 00104615370",ALSTOM Transport Austria GmbH Services Austria,34630000 Teile für Eisenbahn- oder Straßenbahnlokomotiven oder rollendes Material; Ausrüstung für die Eisenbahnverkehrssteuerung,1,"60.172,05",18.09.2025
ÖBB-Technische Services Gesellschaft,11068,ETZ-Akku; St. Pölten - Fassade- und Dacharbeiten - Instandhaltungshalle,,45000000 Bauarbeiten,,,18.09.2025
ÖBB-Technische Services Gesellschaft,11068,RV 2025 Rahmenvertrag für Ersatzteile für Schienenfahrzeuge der Faiveley Transport GmbH,MERZ Industrietechnik GmbH Sales & Marketing,34631000 Teile für Lokomotiven oder rollendes Material,1,"17.707.440,17",18.09.2025
ÖBB-Technische Services Gesellschaft,11068,Bestellung 4300986141,Machowetz & Partner Consulting,71300000 Dienstleistungen von Ingenieurbüros,1,"62.217,43",17.09.2025
ÖBB-Technische Services Gesellschaft,11068,SVS Linz Raimundstraße  - Erdbau- Außenanlagen,,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,,,17.09.2025
ÖBB-Technische Services Gesellschaft,11068,SVS Linz Raimundstraße  - Gleisbauarbeiten innen + außen,,45234116 Gleisbauarbeiten,,,17.09.2025
ÖBB-Technische Services Gesellschaft,11068,Erweiterung der automatischen Fahrgastzählung  (AFZ),Dilax Intelcom GmbH,35125100 Sensoren,0,"52.639,60",16.09.2025
ÖBB-Technische Services Gesellschaft,11068,Kühler-Unterteil z Öl-/Wasserkühler 1016,,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,,,16.09.2025
ÖBB-Technische Services Gesellschaft,11068,Liebherr HKLS-Gewerke mit Zubehör und Ersatzteile für Bahnanwendungen,,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,,,16.09.2025
ÖBB-Technische Services Gesellschaft,11068,Bestellung 4300982857,Zehetner Einrichtungen GmbH,"39000000 Möbel (einschließlich Büromöbel), Zubehör, Haushaltsgeräte (ausgenommen Beleuchtung) und Reinigungsmittel",1,"88.311,87",15.09.2025
ÖBB-Technische Services Gesellschaft,11068,300 Stk. Innenbuchse für Bahnanwendungen,GMT Gummi-Metall-Technik GmbH Key Account Management Railway Technology,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,2,"59.580,00",15.09.2025
ÖBB-Technische Services Gesellschaft,11068,9203 - DANI 3 - Allgemeine Möblierung Objekt 51 Betriebsfeuerwehr,Zehetner Einrichtungen GmbH Sekretariat,39100000 Möbel,1,"84.275,61",15.09.2025
ÖBB-Technische Services Gesellschaft,11068,9203 - DANI 3 - Gefahrgutcontainer für Lacke am Werk Simmering,DENIOS GmbH Niederlassung Österreich,"44211100 Mobile, modulare Containergebäude",1,"98.990,00",12.09.2025
ÖBB-Technische Services Gesellschaft,11068,Beschaffung von Hängelasche mit Buchsen f. Bremskl. PK7S,GEWA-Technik Maschinenbau GmbH Zentrale,34631000 Teile für Lokomotiven oder rollendes Material,1,"102.000,00",12.09.2025
ÖBB-Technische Services Gesellschaft,11068,Lieferung von Gelenk Schürze EL1116-HCH,Hydro Extrusion Lichtervelde  Hydro Extrusion Lichtervelde nv/sa,34631000 Teile für Lokomotiven oder rollendes Material,1,"71.280,01",12.09.2025
ÖBB-Technische Services Gesellschaft,11068,Radsatzlagergehäuse für Railjet RG01-RG60,SKF Österreich AG  Industrial Market Sales,34631000 Teile für Lokomotiven oder rollendes Material,1,"95.400,00",12.09.2025
ÖBB-Technische Services Gesellschaft,11068,Mechanische Komponenten und Blechteile für Bahnanwendungen,,34631000 Teile für Lokomotiven oder rollendes Material,,,11.09.2025
ÖBB-Technische Services Gesellschaft,11068,"Beschaffung SIBAS-RDA-RT V3 LTE W 2X2 REL. OUT, DMLA",Siemens Mobility Austria GmbH MO RC-AT CS RS,34631000 Teile für Lokomotiven oder rollendes Material,1,"60.875,64",10.09.2025
ÖBB-Technische Services Gesellschaft,11068,Seitenwandelemente HPL und GFK für div. Fzg Reihen,,19520000 Kunststoffprodukte,,,10.09.2025
ÖBB-Technische Services Gesellschaft,11068,Beschaffung Grossrad f. Achsgetriebe          VL2016 - 5 Stk 00845464316 Grossrad f. Achsgetriebe          VL2016,Voith Austria GmbH | VTFK Voith Turbo Mobility Rail,34321000 Achsen und Getriebe,1,"60.018,75",09.09.2025
ÖBB-Technische Services Gesellschaft,11068,Abruf aus Rahmenvereinbarung im Bereich IT-Security,INCYDE,72200000 Softwareprogrammierung und -beratung,3,"59.850,00",08.09.2025
ÖBB-Technische Services Gesellschaft,11068,Beschaffung 10 Stk Ventilatorlaufräder - 00884143116 Ventilatorlaufrad 150VN*09VO6     VL2016,Voith Austria GmbH | VTFK Voith Turbo Mobility Rail,34631000 Teile für Lokomotiven oder rollendes Material,1,"501.800,00",08.09.2025
ÖBB-Technische Services Gesellschaft,11068,Ladungsträger für 2.KlasseSitze,S.Z.T.K. TAPS - Maciej Kowalski Zentrale,34631300 Sitze für Schienenfahrzeuge,1,"138.160,00",08.09.2025
ÖBB-Technische Services Gesellschaft,11068,div. Kabelstränge,Siemens Mobility Austria GmbH MO RC-AT CS RS,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,1,"77.110,12",05.09.2025
ÖBB-Technische Services Gesellschaft,11068,Lieferung von Garderobenschränken,,39150000 Diverse Möbel und Einrichtungen,,,04.09.2025
ÖBB-Technische Services Gesellschaft,11068,Labyrinthringe für Bahnanwendungen,,34631000 Teile für Lokomotiven oder rollendes Material,,,04.09.2025
ÖBB-Technische Services Gesellschaft,11068,X556.101-9 - Reparatur (Stahlbauteile) am Palfinger Kran 1 und 2,"Franz Plasser, Vermietung von Bahnbaumaschinen, Gesellschaft m.b.H. Niederlassung Purkersdorf",50222000 Reparatur und Wartung von Schienenfahrzeugen,1,"583.370,99",04.09.2025
ÖBB-Technische Services Gesellschaft,11068,MICAS S PRINT 12NX01 Speisegerät EL1163,ALSTOM Transport Austria GmbH Services Austria,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,1,"65.701,65",03.09.2025
ÖBB-Technische Services Gesellschaft,11068,Überprüfung und Instandhaltung von Kleinteilelagerliften und Rotomaten,HLF Heiss GesmbH Lagereinrichtungen,50000000 Reparatur- und Wartungsdienste,1,"135.784,00",02.09.2025
ÖBB-Technische Services Gesellschaft,11068,00104618501 Jochgehäuse f. SF400 (3S/MG),AluTec GmbH Gießerei mit CNC-Bearbeitung,34000000 Transportmittel und Erzeugnisse für Verkehrszwecke,1,"85.596,49",02.09.2025
ÖBB-Technische Services Gesellschaft,11068,Anschaffung von Werkstattdrehgestellen und Adapterpaaren,Halberstadt Konstruktionstechnik Konstruktionstechnik,34139000 Fahrgestelle,2,"703.610,00",02.09.2025
ÖBB-Technische Services Gesellschaft,11068,"Dachsanierung Knittelfeld  - Dachflächenerneuerung Halle 5, Verwaltung, Lackierhalle, Betriebsgebäude, Lagerhalle und Flugdach",,45260000 Dachdeckarbeiten und Spezialbauarbeiten,,,29.08.2025
ÖBB-Technische Services Gesellschaft,11068,Lieferung von Krananlagen,,42414100 Kräne,,,28.08.2025
ÖBB-Technische Services Gesellschaft,11068,Dieselmotoren-Ersatzteile-diverse Auftragstypen,,34312000 Motorenteile,,,27.08.2025
ÖBB-Technische Services Gesellschaft,11068,70 Stk. Anschlusskabel Fahrmotorsignale,Siemens Mobility Austria GmbH MO RC-AT CS RS,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,1,"76.548,50",27.08.2025
ÖBB-Technische Services Gesellschaft,11068,Abrufbestellung einer Rahmenvereinbarung,Nomad Digital Limited,32428000 Netzwerkaufrüstung,0,"55.692,00",26.08.2025
ÖBB-Technische Services Gesellschaft,11068,Rahmenvertrag für 1 Jahr Hydromotor m. Umbausatz           VL2016 - 00882864016 Hydromotor m. Umbausatz           VL2016,Hydraulikdienst Monsberger GesmbH Verkauf,34312300 Fahrzeugkühler,1,"67.800,00",26.08.2025
ÖBB-Technische Services Gesellschaft,11068,Frontscheiben für ÖBB Schienenfahrzeuge // Rolling Stock - Frontscheiben für ÖBB Schienenfahrzeuge // Rolling Stock,AGC Glass Europe  Sale,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,2,"215.006,00",25.08.2025
ÖBB-Technische Services Gesellschaft,11068,Frontscheiben für ÖBB Schienenfahrzeuge // Rolling Stock - Frontscheiben für ÖBB Schienenfahrzeuge // Rolling Stock,SAINT - GOBAIN SEKURIT ITALIA SRL SAINT GOBAIN SEKURIT SRL,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,2,"566.259,00",25.08.2025
ÖBB-Technische Services Gesellschaft,11068,Konstruktionsleistungen und Gutachten,CE cideon engineering GmbH & Co. KG,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",3,"136.825,00",24.08.2025
ÖBB-Technische Services Gesellschaft,11068,Konstruktionsleistungen und Gutachten,PROSE GmbH,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",3,"426.171,00",24.08.2025
ÖBB-Technische Services Gesellschaft,11068,600 Stk. Ausdrehanschlag für Bahnanwendungen,GMT Gummi-Metall-Technik GmbH Key Account Management Railway Technology,34600000 Eisenbahn- und Straßenbahnlokomotiven und rollendes Material sowie zugehörige Teile,1,"52.860,00",22.08.2025
ÖBB-Technische Services Gesellschaft,11068,Umbau Hochspannungsprüffelder Matzleinsdorf - Anschaffung von Schrankenanlagen - Schrankenanlagen mit Unterkriech- und Übersteigschutz,GESIG Gesellschaft für Signalanlagen Gesellschaftm.b.H. Bereichsleitung Ost,"45340000 Installation von Zäunen, Geländern und Sicherheitseinrichtungen",3,"72.819,90",22.08.2025
ÖBB-Technische Services Gesellschaft,11068,Zylinderrollenlager NU 324 für DAM 1630 Fahrmotor der ÖBB BR 1016/1116/1047,Kugel-und Rollenlagerwerk Leipzig GmbH Vertrieb,34631000 Teile für Lokomotiven oder rollendes Material,3,"141.900,10",22.08.2025
ÖBB-Technische Services Gesellschaft,11068,Revision 6 (12 jährig) an X556.301,"Franz Plasser, Vermietung von Bahnbaumaschinen, Gesellschaft m.b.H. Niederlassung Purkersdorf",50222000 Reparatur und Wartung von Schienenfahrzeugen,1,"276.685,87",21.08.2025
