subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Werbung,11224,Pixel Project GmbH - Projekt:  Info-Spots S-Bahn,PixelProject GmbH Beschriftungsdesign und Werbetechnik,79800000 Druckereidienste und verbundene Dienstleistungen des Druckgewerbes,1,"55.686,50",29.09.2025
ÖBB-Werbung,11224,Lieferung und Montage von Stahlbauten für LED Wall und Deckenhänger,,44210000 Konstruktionen und Teile von Konstruktionen,,,18.09.2025
ÖBB-Werbung,11224,Impacts Catering Wien GmbH - Catering-Business Run 2025,Impacts Catering Wien GmbH Leitung Finanz,55320000 Servieren von Mahlzeiten,1,"86.180,00",30.06.2025
ÖBB-Werbung,11224,Beklebung Schienenersatzverkehr,XXX,42962100 Folienbedruckung,1,"1,00",26.06.2025
ÖBB-Werbung,11224,SEO-Strategie und begleitende Umsetzungen,Erstgereihter RVB-Partner: digitalisten GmbH; Zweitgereihter RVB-Partner: SlopeLift PM Media GmbH,79413000 Marketing-Beratung,3,"224.727,75",18.06.2025
ÖBB-Werbung,11224,ÖBB Webshop und Logistik,,63120000 Lagerung und Lagerhaltung,,,29.05.2025
ÖBB-Werbung,11224,Mitarbeiter:innen Award 2025,Palais Events Veranstaltungen GmbH,79952000 Event-Organisation,7,"68.755,75",26.05.2025
ÖBB-Werbung,11224,Verpflegungsdienstleistungen Executive Update,Edler Landhaus Oswald Catering,55520000 Verpflegungsdienste,3,"135.212,80",20.05.2025
ÖBB-Werbung,11224,Mitarbeiter:innen-Sommerfest 2025 - INFRA,Maximilian Breckner-Bachmann (Vienna City Beach Club) Zentrale,79952000 Event-Organisation,1,"112.583,00",08.04.2025
ÖBB-Werbung,11224,Banner- und Digital Out of Home-Produktion,Erstgereihter RVP: VIMA Werbeagentur GmbH; Zweitgereihter RVP: agencylife innovative GmbH; Drittgereihter RVP: DMC 01 Consulting & Development GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",7,"599.906,00",15.03.2025
ÖBB-Werbung,11224,Mitarbeiter:innen-Sommerfest 2025 - RCG,Maximilian Breckner-Bachmann (Vienna City Beach Club) Zentrale,79952000 Event-Organisation,3,"66.061,00",14.03.2025
ÖBB-Werbung,11224,digitales Eventmanagement,Rahmenvereinbarung mit mehreren Unternehmern,79952000 Event-Organisation,4,"839.160,00",03.03.2025
ÖBB-Werbung,11224,Mietmöbel für Veranstaltungen,"Los Wien, Niederösterreich & Burgenland: Föhr Gmbh, Eventas e.U, die Mietbar-Fluger Gmbh; Los Oberösterreich: Eventas e.U, die Mietbar-Fluger Gmbh, Eventmöbel M&M GmbH; Los Steiermark: Eventas e.U, die Mietbar-Fluger Gmbh, Eventmöbel M&M GmbH; Los Salzburg: Eventas e.U, die Mietbar-Fluger Gmbh, Eventmöbel M&M GmbH; Los Kärnten:  Rotfuchs KG, die Mietbar-Fluger Gmbh, Eventmöbel M&M GmbH; Los Tirol & Vorarlberg: die Mietbar-Fluger Gmbh, Eventmöbel M&M GmbH",79952000 Event-Organisation,6,"665.860,65",10.10.2024
ÖBB-Werbung,11224,Banner- und Digital Out of Home-Produktion,,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",,,26.09.2024
ÖBB-Werbung,11224,Business Run 2024 Catering,Impacts Catering Wien GmbH Leitung Finanz,55320000 Servieren von Mahlzeiten,1,"85.168,00",29.08.2024
ÖBB-Werbung,11224,Catering - IRSC Konferenz,Theuer & Punzet Gastronomie OG Eventcatering,55520000 Verpflegungsdienste,3,"67.195,60",12.08.2024
ÖBB-Werbung,11224,IRSC Konferenz,Palais Events Veranstaltungen GmbH Palais Events Veranstaltungen GmbH,"79950000 Veranstaltung von Ausstellungen, Messen und Kongressen",1,"51.289,45",25.06.2024
ÖBB-Werbung,11224,ÖBB Railcargo - Sommerfest (Kunden) - ÖBB Railcargo - Sommerfest (Kunden),Maximilian Breckner-Bachmann (Vienna City Beach Club) Zentrale,55320000 Servieren von Mahlzeiten,1,"59.087,00",25.06.2024
ÖBB-Werbung,11224,Catering für Veranstaltungen,Impacts Catering Wien GmbH Leitung Finanz,55520000 Verpflegungsdienste,2,"214.636,07",28.05.2024
ÖBB-Werbung,11224,Marktforschung Kampagnenmanagement,marketmind Geschäftsführung,79310000 Marktforschung,1,"783.207,00",21.05.2024
