subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Business Competence Center,8550,Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Fabasoft Austria GmbH,72411000 Anbieter von Internetdiensten (ISP),2,"67.770,00",26.03.2019
ÖBB-Business Competence Center,8550,Steuerberaterleistung,ICON Wirtschaftstreuhand GmbH ICON Wirtschaftstreuhand GmbH,79221000 Steuerberatung,2,"1,00",01.04.2019
ÖBB-Business Competence Center,8550,Optische Zeichenerkennung in Dokumenten inkl. zugehöriger Dienstleistung,,72300000 Datendienste,,,05.04.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,map7 Consulting e.U.,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",2,"122.400,00",08.04.2019
ÖBB-Business Competence Center,8550,Business Analyse Leistungen,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,3,"70.550,00",24.04.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung „Vertriebs-/Informationssysteme“ - Entwicklung und Test,Nagarro GmbH,72263000 Software-Implementierung,5,"1.191.607,20",24.04.2019
ÖBB-Business Competence Center,8550,Softwareentwicklungsleistungen,InfraSoft Datenservice GmbH,72200000 Softwareprogrammierung und -beratung,10,"88.704,00",24.04.2019
ÖBB-Business Competence Center,8550,Bestellung 4300797712,talessio GmbH,72200000 Softwareprogrammierung und -beratung,0,"58.400,00",24.04.2019
ÖBB-Business Competence Center,8550,Bestellung 4300797712,talessio GmbH,72200000 Softwareprogrammierung und -beratung,0,"58.400,00",25.04.2019
ÖBB-Business Competence Center,8550,Abrufbestellung aus Rahmenvereinbarung,RVB mit mehreren Unternehmen,35123400 Zugangskarten,4,"0,01",25.04.2019
ÖBB-Business Competence Center,8550,Abrufbestellung einer Rahmenvereinbarung,eww ag,72300000 Datendienste,0,"159.468,00",26.04.2019
ÖBB-Business Competence Center,8550,Business Intelligence & Advanced Analytics,SOFTCOM CONSULTING GmbH,72200000 Softwareprogrammierung und -beratung,3,"139.268,75",02.05.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0,"50.711,00",15.05.2019
ÖBB-Business Competence Center,8550,Bestellung 4300799658,KOFAX AUSTRIA GMBH,50000000 Reparatur- und Wartungsdienste,0,"77.389,45",28.05.2019
ÖBB-Business Competence Center,8550,Bestellung 4300804135,OPPIDA GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"94.350,00",29.05.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,10,"1,00",29.05.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,72260000 Dienstleistungen in Verbindung mit Software,1,"1,00",30.05.2019
ÖBB-Business Competence Center,8550,Abrufbestellung aus einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,5,"1,00",30.05.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,OMEGA Handelsgesellschaft m.b.H.,30213000 Personalcomputer,0,"60.853,20",31.05.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Bechtle GmbH,72910000 Computer-Backup-Dienste,0,"98.600,00",04.06.2019
ÖBB-Business Competence Center,8550,Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,GARWAN CONSULTING S.R.O.,72200000 Softwareprogrammierung und -beratung,0,"360.510,00",12.06.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10,"1,00",13.06.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,10,"1,00",07.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,SAP Österreich GmbH,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1,"1,00",08.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,COMPAREX Austria GmbH,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2,"1,00",08.07.2019
ÖBB-Business Competence Center,8550,Bestellung 4300800946,onlinegroup.at creative online,72267000 Software-Wartung und -Reparatur,0,"66.900,00",08.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,active business consult,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"240.560,00",09.07.2019
ÖBB-Business Competence Center,8550,Bestellung 4300807427,Bechtle GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"72.427,50",10.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,ACCELERO CONSULTING GMBH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"92.541,00",11.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Solvion information management GmbH,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",1,"1,00",16.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,BearingPoint Technology GmbH,72210000 Programmierung von Softwarepaketen,4,"1,00",18.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Microsoft Ireland Operations Ltd.,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",1,"1,00",18.07.2019
ÖBB-Business Competence Center,8550,Bestellung 4300808214,INFORM.SERVICES GROUP SWITZERLAND G,79419000 Beratung in Sachen Evaluierung,1,"90.000,00",22.07.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30236200 Datenverarbeitungsanlagen,5,"99.824,35",25.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72260000 Dienstleistungen in Verbindung mit Software,6,"1,00",26.07.2019
ÖBB-Business Competence Center,8550,Bestellung 4300808800,Bechtle GmbH,48000000 Softwarepaket und Informationssysteme,1,"65.000,00",29.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72262000 Software-Entwicklung,3,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72261000 Software-Unterstützung,7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,7,"1,00",31.07.2019
