subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Infrastruktur AG,8538,9O1056_00 Zweiwegebagger,G. Hinteregger & Söhne Baugesellschaft m.b.H. Niederlassung Linz – Bahnbau,45000000 Bauarbeiten,1,"53.077,00",01.03.2019
ÖBB-Infrastruktur AG,8538,Bhf. Göpfritz HWE Detail- Ausschreibungs- Ausführungsplanung,Ingenieurbüro Dipl. Ing. Thomas Perz Zentrale Ternitz,71320000 Planungsleistungen im Bauwesen,3,"56.071,67",01.03.2019
ÖBB-Infrastruktur AG,8538,Neuerrichtung einer Natursteinmauer,PORR Bau GmbH Oberösterreich - Business Unit 1 / HB,45234100 Bauarbeiten für Eisenbahnlinien,5,"368.584,11",03.03.2019
ÖBB-Infrastruktur AG,8538,Erneuerung Eisenbahnbrücke/ Herstellung Stahlbetonrahmen,GTB Bau GmbH Zentrale,45221112 Bau von Eisenbahnbrücken,7,"594.575,15",04.03.2019
ÖBB-Infrastruktur AG,8538,"Baumeisterleistung Umbau Bf. Sillian und DL km 298,257",Osttiroler Asphalt Hoch-u.Tiefbauunternehmung GmbH Verkehrswegebau,45220000 Ingenieur- und Hochbauarbeiten,4,"2.805.309,39",04.03.2019
ÖBB-Infrastruktur AG,8538,Ausbau Str.17 - Zweiwegebagger,G. Hinteregger & Söhne Baugesellschaft m.b.H. Niederlassung Linz – Bahnbau,45000000 Bauarbeiten,1,"99.080,40",04.03.2019
ÖBB-Infrastruktur AG,8538,BL70.20 AHK 3 Ausbaustufe,"Bietergemeinschaft bestehend aus: Konrad Beyer & Co Hochbau-, Tiefbau- und SpezialbauDPB GmbH Zentrale und Swietelsky Baugesellschaft m.b.H. ZNL Klagenfurt",45234100 Bauarbeiten für Eisenbahnlinien,5,"1.363.806,52",04.03.2019
ÖBB-Infrastruktur AG,8538,Dachdecker.- und Spenglerarbeiten,Prechtl GmbH Prechtl GmbH,45260000 Dachdeckarbeiten und Spezialbauarbeiten,4,"66.428,98",04.03.2019
ÖBB-Infrastruktur AG,8538,Baumeisterarbeiten,Ing. Hans Bodner Baugesellschaft m.b.H. & Co. KG. NL Kematen,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,4,"2.665.421,21",05.03.2019
ÖBB-Infrastruktur AG,8538,Baumeisterarbeiten,Jäger Bau GmbH Hoch- und Tiefbau / Untertagebau,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,5,"2.225.099,43",05.03.2019
ÖBB-Infrastruktur AG,8538,BCSP - ÖBA u. BauKG f. Rückbauarbeiten,aetas Ziviltechniker GmbH Zentrale,71520000 Bauaufsicht,1,"71.725,50",05.03.2019
ÖBB-Infrastruktur AG,8538,Baumeisterarbeiten Karwendelsperre 2019 - Bauabschnitt Innsbruck Hötting - Hochzirl,Ing. Berger & Brunner Baugesellschaft m.b.H. Niederlassung Inzing,45000000 Bauarbeiten,4,"684.119,20",05.03.2019
ÖBB-Infrastruktur AG,8538,Baggerbestellung  ZW-Bagger für die Gleisneulage Treibach-Launsdorf 2019,Hieden & Kall Hoch-u. Tiefbaugesellschaft m. b. H. Filiale Klagenfurt,"45230000 Bauarbeiten für Rohrleitungen, Fernmelde- und Stromleitungen, für Autobahnen, Straßen, Flugplätze und Eisenbahnen; Nivellierungsarbeiten",1,"76.923,80",05.03.2019
ÖBB-Infrastruktur AG,8538,Oberleitungsmontagearbeiten Koralmbahn Althofen-Klagenfurt,SPL Powerlines Austria GmbH & Co KG Fahrleitungsbau,45000000 Bauarbeiten,4,"4.213.306,90",05.03.2019
ÖBB-Infrastruktur AG,8538,"Verstärkungsmaßnahmen für Bahndamm km22,9-23,1; Baumeisterabeiten",Swietelsky Baugesellschaft m.b.H. ZNL Nussdorf,45234130 Gleisbettbauarbeiten,6,"939.484,58",05.03.2019
ÖBB-Infrastruktur AG,8538,Elektrobauleistungen Weichenverbindung Semmering,ELIN GmbH & Co KG Zentrale,45000000 Bauarbeiten,6,"189.022,52",05.03.2019
ÖBB-Infrastruktur AG,8538,Standortoptimierung KW Spullersee Los 1 inkl. Bauleistungen und Seeentleerung Speicher Spullersee,,"45250000 Bauarbeiten für Kraftwerke, Bergbau- und Produktionsanlagen und für Gebäude der Öl- und Gasindustrie",,,05.03.2019
ÖBB-Infrastruktur AG,8538,Oberleitungsrammpfahlfundierungs- und Maststellarbeiten Strecke 1021 Waidhofen/Ybbs - Oberland,European Trans Energy GmbH Fahrleitungsbau,45000000 Bauarbeiten,2,"831.626,90",05.03.2019
ÖBB-Infrastruktur AG,8538,Bf Zell am See Bahnsteigsanierung ÖBA- Leistungen,AIS Bau- und Projektmanagement GmbH Zentrale,71520000 Bauaufsicht,1,"65.450,00",06.03.2019
ÖBB-Infrastruktur AG,8538,"ÖBA-Leiter für Reinvestitionsvorhaben WN Weiche 1-8 u. Brückenerneuerung km 17,454, Bf. Hallein",iC consulenten ZT GesmbH IC Salzburg,71520000 Bauaufsicht,1,"72.577,63",06.03.2019
ÖBB-Infrastruktur AG,8538,Härtestabilisation im Siebergtunnel,Kardag AG Zentrale,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",1,"64.800,00",06.03.2019
