Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Bestellung 4300973215,SAP Österreich GmbH,72267000 Software-Wartung und -Reparatur,1.0,"3.400.000,00",31.07.2025
Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9.0,"86.148,00",31.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"50.350,00",31.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"90.667,50",30.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"80.560,00",30.07.2025
Prozessmanagement Training & Zertifizierung,T & O Group Österreich GmbH Office Management,80511000 Ausbildung des Personals,1.0,"109.534,00",29.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"65.808,12",29.07.2025
"Abruf aus Rahmenvereinbarung ARP Standardsoftware für Fahrzeug-, Schicht- und Einsatzplanung",T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1.622.037,40",29.07.2025
Abrufbestellung aus der Rahmenvereinbarung Diverse Standardsoftware,SoftwareONE Österreich GmbH,48900000 Diverse Softwarepakete und Computersysteme,1.0,"50.507,07",29.07.2025
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"88.260,00",29.07.2025
Abrufbestellung aus der Rahmenvereinbarung Diverse Standardsoftware,SoftwareONE Österreich GmbH,48900000 Diverse Softwarepakete und Computersysteme,1.0,"60.251,37",29.07.2025
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"57.292,80",29.07.2025
Rahmenvereinbarung Multimedia Service,PANATRONIC Gesellschaft m.b.H,32322000 Multimediaausrüstung,2.0,"60.000,00",28.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"87.900,00",28.07.2025
Abruf aus RVB: Dienstleistungen webMethods,IBM Österreich Internationale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"78.740,00",28.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"76.210,00",28.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,16.0,"76.330,00",28.07.2025
Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9.0,"60.168,00",28.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"76.210,00",28.07.2025
Endpoint-Security Lösung,Eviden Austria GmbH,48732000 Datensicherheitssoftwarepaket,5.0,"94.780,00",28.07.2025
Abruf aus Rahmenvereinbarung: IT Dienstleistungen - UX Design,IBM Österreich Internationale Büromaschinen Gesellschaft m.b.H,72200000 Softwareprogrammierung und -beratung,8.0,"60.000,00",25.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"87.355,02",25.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"73.390,16",25.07.2025
Abruf aus Rahmenvereinbarung: IT Dienstleistungen - System Design,Nagarro GmbH,72200000 Softwareprogrammierung und -beratung,12.0,"141.255,00",25.07.2025
Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8.0,"72.757,50",25.07.2025
Abruf aus Rahmenvereinbarung: IT Dienstleistungen - DevOps,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"89.052,00",25.07.2025
Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"72.000,00",25.07.2025
Abruf aus RVB: Travel Management System,i:FAO Group GmbH,48000000 Softwarepaket und Informationssysteme,2.0,"297.810,00",24.07.2025
Abruf aus RVB: Travel Management System,"IFAO Group GmbH, IFAO Group GmbH",48100000 Branchenspezifisches Softwarepaket,2.0,"216.243,00",24.07.2025
Abruf aus RVB: Dienstleistungen webMethods,IBM Österreich Internationale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"74.930,00",24.07.2025
